Notification date,Transaction date,Company,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-26,2024-07-25,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","S
Sale","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,000

4.69


EUR 12,775","1,000",4.69,"EUR 100,000",
2024-07-26,2024-07-25,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","B
Purchase","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,000

4.68


EUR 12,757","1,000",4.68,"EUR 100,000",
2024-07-26,2024-07-24,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","S
Sale","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,000

4.73


EUR 6,131","1,000",4.73,"EUR 100,000",
2024-07-26,2024-07-24,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","B
Purchase","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,000

4.73


EUR 6,133","1,000",4.73,"EUR 100,000",
2024-07-26,2024-07-24,"Foodlink SA
(FOODL)","B
Purchase","KARAKOULAKIS BASILEIOS

President
Through a closely affiliated person
Non-Executive Director","1,000

0.46


EUR 2,453","1,000",0.46,"EUR 100,000",
2024-07-25,2024-07-24,"I Kloukinas I Lappas Construction and Commercial Co SA
(KLM)","S
Sale","KLONIS DIMITRIOS

President
Through a closely affiliated person
Non-Executive Director","11,106,255

1.00


EUR 11,892,578","11,106,255",1.00,"EUR 11,106,255",
2024-07-25,2024-07-24,LOULIS FOOD INGREDIENTS S.A.,"B
Purchase","KASOTAKIS DIONYSIOS

Other Manager
Officer","380

2.64


EUR 1,074",380,2.64,"EUR 1,003",
2024-07-26,2024-07-23,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","S
Sale","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,000

4.79


EUR 3,757","1,000",4.79,"EUR 100,000",
2024-07-26,2024-07-23,"Hellenic Exchanges Athens Stock Exchange SA
(EXAE)","B
Purchase","BASILEIOU KONSTANTINOS

Non Executive Member
Through a closely affiliated person
Non-Executive Director","1,000

4.81


EUR 6,347","1,000",4.81,"EUR 100,000",
2024-07-25,2024-07-23,LOULIS FOOD INGREDIENTS S.A.,"B
Purchase","KASOTAKIS DIONYSIOS

Other Manager
Officer","250

2.63


EUR 704",250,2.63,EUR 658,
2024-07-25,2024-07-23,"Foodlink SA
(FOODL)","B
Purchase","KARAKOULAKIS BASILEIOS

President
Through a closely affiliated person
Non-Executive Director","5,000

0.45


EUR 2,415","5,000",0.45,"EUR 2,255",
